recommendation_id,asset_id,health_score,risk_level,recommended_action,key_factors,supporting_notes,confidence,status,days_to_failure,priority
REC-BOI-101,BOI-101,78,Medium,Inspect / Tune / Clean,no major exceptions in current operating data,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",94,Pending Review,314,Planned
REC-BUR-205,BUR-205,29,High,Service / Escalate,2 recent fault event(s) | maintenance overdue by 11 day(s) | vibration above target band | temperature trend elevated,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",86,Pending Review,204,Immediate
REC-PMP-144,PMP-144,0,High,Service / Escalate,4 recent fault event(s) | maintenance overdue by 29 day(s) | vibration above target band | temperature trend elevated | operator certification risk flagged,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",72,Pending Review,7,Immediate
REC-HTX-320,HTX-320,70,Medium,Inspect / Tune / Clean,1 recent fault event(s) | maintenance overdue by 5 day(s),"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",90,Pending Review,310,Planned
REC-BLR-404,BLR-404,0,High,Service / Escalate,5 recent fault event(s) | maintenance overdue by 43 day(s) | vibration above target band | temperature trend elevated | stack temperature indicates efficiency loss or fouling | operator certification risk flagged,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",68,Pending Review,7,Immediate
REC-BLR-202,BLR-202,87,Low,Continue Monitoring,no major exceptions in current operating data,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",96,Approved,338,Routine
REC-PMP-099,PMP-099,47,High,Service / Escalate,1 recent fault event(s) | maintenance overdue by 3 day(s) | vibration above target band,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",90,Pending Review,243,Immediate
REC-CTL-010,CTL-010,93,Low,Continue Monitoring,no major exceptions in current operating data,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",96,Approved,354,Routine
REC-CHR-501,CHR-501,0,High,Service / Escalate,3 recent fault event(s) | maintenance overdue by 21 day(s) | vibration above target band | temperature trend elevated,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",76,Pending Review,41,Immediate
REC-BUR-310,BUR-310,91,Low,Continue Monitoring,no major exceptions in current operating data,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",96,Approved,352,Routine
REC-HTX-510,HTX-510,50,Medium,Inspect / Tune / Clean,maintenance overdue by 14 day(s) | operator certification risk flagged,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",94,Pending Review,271,Planned
REC-PMP-511,PMP-511,44,High,Service / Escalate,maintenance overdue by 6 day(s) | vibration above target band,"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history.",94,Pending Review,257,Immediate
