assetId,assetName,assetType,manufacturer,model,installYear,designCapacity,designTemp,designPressure,site,operatingHours,maintenanceStrategy,temperature,pressure,vibration,stackTemp,steamOutput,fuelConsumption,load,energyInput,energyOutput,efficiencyScore,recentFaults,overdueDays,assetAge,criticality,lastMaintenanceDate,workerCertified,workerFatigue,workerExperience,operatorObservation,maintenanceHistory,waterHardness,bearingTemp,shaftSpeed,co2Emissions,noxLevel,emissionCompliant,replacementCost,annualMaintenanceCost,historicalHealthScores,healthScore,riskLevel,reviewStatus,confidenceScore,recommendedAction,priority,keyFactors,supportingNotes
BOI-101,Main Steam Boiler A,Boiler,Cleaver-Brooks,CB-800,2018,800 kW,180,10,Melbourne Plant,14200,Condition-Based,91,74,22,145,790,62,88,920,790,82,0,0,8,High,2026-02-10,True,Low,5,Running within expected operating band.,Scheduled PM completed Feb 2026. No outstanding issues.,140,42,1450,124,38,True,95000,8200,"[88, 86, 85, 84, 83, 82]",78,Medium,Pending Review,94,Inspect / Tune / Clean,Planned,['no major exceptions in current operating data'],"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BUR-205,Burner Unit 2,Burner,Weishaupt,WM-GL30,2019,500 kW,160,8,Geelong Energy Hub,11800,Preventative,108,79,34,178,460,81,74,620,460,66,2,11,7,Medium,2026-01-22,True,Medium,3,Temperature trend has increased over the last week.,PM overdue 11 days. Two fault events logged in last 30 days.,160,58,1380,162,52,True,45000,5800,"[78, 75, 72, 70, 68, 66]",29,High,Pending Review,86,Service / Escalate,Immediate,"['2 recent fault event(s)', 'maintenance overdue by 11 day(s)', 'vibration above target band', 'temperature trend elevated']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
PMP-144,Feedwater Pump 3,Pump,Grundfos,NK-125,2016,200 kW,95,12,Sydney Service Centre,22400,Reactive,115,86,58,0,0,0,91,210,155,41,4,29,10,Critical,2025-11-15,False,High,1,Repeated vibration alarms and inconsistent pressure output.,Maintenance 29 days overdue. 4 fault events in last 30 days. Bearing inspection overdue.,220,78,2900,0,0,True,32000,4100,"[62, 56, 51, 47, 44, 41]",0,High,Pending Review,72,Service / Escalate,Immediate,"['4 recent fault event(s)', 'maintenance overdue by 29 day(s)', 'vibration above target band', 'temperature trend elevated', 'operator certification risk flagged']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
HTX-320,Heat Exchanger 1,Heat Exchanger,SWEP,B120,2021,350 kW,120,6,Sunshine West Test Centre,7600,Condition-Based,88,69,14,0,330,48,82,410,330,79,1,5,5,Medium,2026-03-01,True,Low,4,Slight fouling suspected but output remains stable.,Minor fouling flag raised. PM check due within 5 days.,150,36,0,96,28,True,28000,3200,"[84, 83, 81, 80, 79, 79]",70,Medium,Pending Review,90,Inspect / Tune / Clean,Planned,"['1 recent fault event(s)', 'maintenance overdue by 5 day(s)']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BLR-404,Backup Boiler 4,Boiler,Thermax,IBR-1200,2015,1200 kW,200,14,Melbourne Plant,31200,Reactive,119,91,61,210,860,130,72,1350,860,36,5,43,11,Critical,2025-10-02,False,High,2,High-severity fault history and maintenance long overdue.,Maintenance 43 days overdue. 5 faults in last 30 days. Stack temp elevated.,280,85,1450,260,88,False,140000,14500,"[58, 52, 47, 43, 39, 36]",0,High,Pending Review,68,Service / Escalate,Immediate,"['5 recent fault event(s)', 'maintenance overdue by 43 day(s)', 'vibration above target band', 'temperature trend elevated', 'stack temperature indicates efficiency loss or fouling', 'operator certification risk flagged']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BLR-202,Steam Boiler B,Boiler,Cleaver-Brooks,CB-600,2020,600 kW,175,9,Geelong Energy Hub,10200,Predictive,94,71,18,148,570,58,85,680,570,87,0,0,6,High,2026-03-18,True,Low,6,Operating normally. Predictive sensor data within range.,All PM completed on time. No outstanding issues.,130,40,1450,116,31,True,75000,6800,"[88, 88, 87, 87, 87, 87]",87,Low,Approved,96,Continue Monitoring,Routine,['no major exceptions in current operating data'],"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
PMP-099,Condensate Pump 1,Pump,Lowara,ESHE-65,2017,90 kW,80,8,Sydney Service Centre,18700,Preventative,98,77,38,0,0,0,83,95,72,71,1,3,9,Medium,2026-03-05,True,Low,4,Slight vibration increase noticed. PM due in 3 days.,Last PM completed March 2026. Minor vibration flag.,145,48,2950,0,0,True,18000,2400,"[78, 76, 75, 74, 72, 71]",47,High,Pending Review,90,Service / Escalate,Immediate,"['1 recent fault event(s)', 'maintenance overdue by 3 day(s)', 'vibration above target band']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
CTL-010,Combustion Controller,Controller,Siemens,RWF55,2022,N/A,60,0,Sunshine West Test Centre,5800,Condition-Based,42,0,4,0,0,0,91,0,0,93,0,0,4,High,2026-03-20,True,Low,7,All control loops operating within setpoint tolerances.,Calibration check passed March 2026.,0,0,0,0,0,True,12000,1800,"[94, 94, 93, 93, 93, 93]",93,Low,Approved,96,Continue Monitoring,Routine,['no major exceptions in current operating data'],"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
CHR-501,Industrial Chiller 1,Chiller,Trane,CGAM-150,2014,150 RT,10,5,Melbourne Plant,36800,Reactive,112,88,54,0,0,0,94,185,118,44,3,21,12,Critical,2025-12-18,True,Medium,3,Compressor noise increasing. Refrigerant level low.,PM 21 days overdue. Compressor bearing wear noted.,0,72,3550,0,0,True,85000,9500,"[62, 57, 53, 49, 46, 44]",0,High,Pending Review,76,Service / Escalate,Immediate,"['3 recent fault event(s)', 'maintenance overdue by 21 day(s)', 'vibration above target band', 'temperature trend elevated']","Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
BUR-310,Gas Burner 3,Burner,Riello,RS-300,2023,300 kW,155,7,Geelong Energy Hub,3200,Predictive,86,66,11,138,285,36,78,350,285,91,0,0,3,Medium,2026-03-22,True,Low,8,New unit performing as expected. All readings nominal.,Commissioning check completed. All within spec.,120,32,1450,72,22,True,38000,3600,"[92, 92, 91, 91, 91, 91]",91,Low,Approved,96,Continue Monitoring,Routine,['no major exceptions in current operating data'],"Recommendation generated from rules-based scoring, anomaly signals, and maintenance history."
